date,coin_name,coin_symbol,price_usd,market_cap_usd
2025-01-01,Bitcoin,btc,91261.0,1808961492406
2025-01-01,Ethereum,eth,2292.42,276267054048
2025-01-01,XRP,xrp,2.58,149120704155
2025-01-01,Tether,usdt,1.0,142739006529
2025-01-01,BNB,bnb,603.57,87954531611
2025-01-01,Solana,sol,151.01,76594032372
2025-01-01,USDC,usdc,0.999889,57197909049
2025-01-01,Cardano,ada,0.953468,34288032427
2025-01-01,Dogecoin,doge,0.21035,31160096291
2025-01-01,Lido Staked Ether,steth,2294.5,21549381718
2025-01-01,TRON,trx,0.246099,21160013067
2025-01-01,Pi Network,pi,1.92,13513283454
2025-01-01,Wrapped Bitcoin,wbtc,91077.0,11754557966
2025-01-01,Chainlink,link,17.17,10936957458
2025-01-01,Hedera,hbar,0.250502,10499967078
2025-01-01,Wrapped stETH,wsteth,2756.71,9657681668
2025-01-01,Stellar,xlm,0.303845,9310909878
2025-01-01,LEO Token,leo,9.92,9140192553
2025-01-01,Avalanche,avax,21.91,9070869700
2025-01-01,Sui,sui,2.69,8533922986
2025-01-01,Litecoin,ltc,109.41,8252788767
2025-01-01,USDS,usds,0.999825,8215530084
2025-01-01,Shiba Inu,shib,1.353e-05,7970122215
2025-01-01,Bitcoin Cash,bch,397.77,7879744506
2025-01-01,Toncoin,ton,3.04,7534172769
2025-01-01,Polkadot,dot,4.57,6947033848
2025-01-01,MANTRA,om,6.97,6785788526
2025-01-01,WETH,weth,2296.09,6705099157
2025-01-01,Hyperliquid,hype,17.12,5704536265
2025-01-01,Bitget Token,bgb,4.7,5634459206
2025-01-01,Ethena USDe,usde,0.998944,5437770206
2025-01-01,Wrapped eETH,weeth,2435.61,4652471057
2025-01-01,Uniswap,uni,7.54,4525791253
2025-01-01,WhiteBIT Coin,wbt,30.22,4353734711
2025-01-01,Monero,xmr,232.99,4293005626
2025-01-01,Ondo,ondo,1.17,3691613673
2025-01-01,NEAR Protocol,near,3.07,3648938477
2025-01-01,Aptos,apt,6.18,3642052196
2025-01-01,Aave,aave,230.68,3484014470
2025-01-01,Dai,dai,1.0,3267930751
2025-01-01,sUSDS,susds,1.042,3242968189
2025-01-01,Ethereum Classic,etc,20.64,3113373911
2025-01-01,Internet Computer,icp,6.38,3073120539
2025-01-01,Pepe,pepe,7.19e-06,3023386097
2025-01-01,Official Trump,trump,13.66,2729311926
2025-01-01,Gate,gt,21.94,2698477018
2025-01-01,OKB,okb,44.17,2650485512
2025-01-01,Coinbase Wrapped BTC,cbbtc,91332.0,2621846113
2025-01-01,Bittensor,tao,306.13,2585835032
2025-01-01,VeChain,vet,0.02931826,2517202154
2025-01-01,Mantle,mnt,0.741394,2495043932
2025-01-01,Cronos,cro,0.089132,2456564869
